rassrecv,h14itot,r13jhours,r14isret,racohbyr,r14ipena,r14jnjob,r14hlthlm,r14peninc,r14peni_n,h14absns,r13jhour2,h14adebt,r14jlten,h14atota,r14mstath,r13iearn,inw4,inw5,inw6,inw7,inw8,inw9,inw10,inw11,inw12,inw13,inw14,retire,r14agey_b,ragender
1,664920,15,42000,2,16560,6,1,1,1,0,5,0,24,19070000,1,250000,0,0,0,0,0,0,0,0,0,0,1,0,90,1
1,75300,6,25200,3,0,2,1,0,0,0,0,0,34.7,2334000,7,16000,0,0,0,0,0,0,0,0,0,0,1,1,77,1
1,9000,0,9000,3,0,4,0,0,0,0,0,0,11,1100,7,20000,0,0,0,0,0,0,0,0,0,0,1,1,85,1
1,20520,0,3720,3,0,4,1,0,0,0,0,15000,-97,389200,1,0,0,0,0,0,0,0,0,0,0,0,1,1,77,2
1,115000,30,32400,3,0,3,1,0,0,0,0,8000,35.6,1415500,5,50000,0,0,0,0,0,0,0,0,0,0,1,0,78,2
1,25800,30,1800,2,0,4,0,0,0,6,0,350,28.7,3954650,1,0,0,0,0,0,0,0,0,0,0,0,1,1,90,1
1,27632,0,7200,3,6000,1,1,1,1,0,0,0,38.5,266000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,79,2
1,21884.26729,50,12452.26729,5,0,2,0,0,0,0,0,0,27.4,82376.62958,1,87000,0,0,0,0,0,0,0,0,0,0,1,1,68,2
1,33000,0,23400,3,0,2,1,0,0,0,0,7000,21.4,137000,1,160000,0,0,0,0,0,0,0,0,0,0,1,1,76,1
1,26398,20,20148,3,750,1,0,1,1,0,0,0,37.3,1312000,7,21000,0,0,0,0,0,0,0,0,0,0,1,0,83,2
1,34800,0,14400,3,0,1,0,0,0,0,0,800,28.5,161200,1,10000,0,0,0,0,0,0,0,0,0,0,1,1,78,2
1,587815,50,34375,3,39840,6,0,1,2,0,0,0,21,2526000,1,401000,0,0,0,0,0,0,0,0,0,0,1,1,76,1
1,120950,0,0,3,120000,5,0,1,3,0,0,30000,18.5,422200,5,0,0,0,0,0,0,0,0,0,0,0,1,0,84,1
1,22272,30,16044,3,6228,6,1,1,3,0,6,5000,12.4,155000,7,3480,0,0,0,0,0,0,0,0,0,0,1,1,86,2
0,4,0,0,5,0,4,0,0,0,0,0,2000,21.2,287800,7,45000,0,0,0,0,0,0,0,0,0,0,1,1,65,2
1,58492,40,18492,3,0,2,1,0,0,0,0,0,28.6,158000,7,36000,0,0,0,0,0,0,0,0,0,0,1,0,80,1
1,56090,50,3900,4,14898,3,0,1,1,0,0,0,25.7,172000,1,27000,0,0,0,0,0,0,0,0,0,0,1,1,75,2
1,25572,0,21972,3,0,2,0,0,0,0,0,0,11,56000,7,0,0,0,0,0,0,0,0,0,0,0,1,1,80,2
1,27600,20,19200,3,0,4,0,0,0,0,0,18000,33.6,-1000,1,14000,0,0,0,0,0,0,0,0,0,0,1,1,78,1
1,31604,0,19200,3,1704,9,0,1,1,0,0,800,17.2,158400,1,0,0,0,0,0,0,0,0,0,0,0,1,0,82,1
1,105480,25,12480,4,0,1,0,0,0,60000,15,1500,44.3,596500,7,0,0,0,0,0,0,0,0,0,0,0,1,0,74,2
1,33824,8,8988,3,0,4,1,0,0,0,0,0,12.3,288500,1,3495,0,0,0,0,0,0,0,0,0,0,1,1,85,2
1,256840,40,15840,5,0,1,1,0,0,0,0,30000,28.3,118000,7,0,0,0,0,0,0,0,0,0,0,0,1,1,69,2
0,50036,40,0,6,0,6,0,0,0,0,0,0,8,541500,1,26000,0,0,0,0,0,0,0,0,0,0,1,0,58,1
1,78200,20,14400,3,0,3,0,0,0,0,0,12000,12.4,170000,1,30000,0,0,0,0,0,0,0,0,0,0,1,1,81,2
1,36800,30,16800,4,0,6,1,0,0,0,0,3000,11,28000,7,12000,0,0,0,0,0,0,0,0,0,0,1,0,75,2
1,26640,0,17760,3,0,3,0,0,0,0,0,0,31.4,2573000,1,3500,0,0,0,0,0,0,0,0,0,0,1,1,83,1
1,9600,0,9600,3,0,3,0,0,0,0,0,0,10.8,82200,4,0,0,0,0,0,0,0,0,0,0,0,1,1,86,2
1,24408,0,24360,3,0,4,1,0,0,0,0,0,15.3,483000,5,5000,0,0,0,0,0,0,0,0,0,0,1,1,78,2
1,22320,0,15600,3,6720,4,1,1,1,0,0,1000,30.3,319000,5,5000,0,0,0,0,0,0,0,0,0,0,1,1,79,1
0,44445.22038,60,0,5,0,3,0,0,0,0,0,0,10.4,165000,1,11000,0,0,0,0,0,0,0,0,0,0,1,1,66,2
1,38132,2,15600,4,3732,7,1,1,1,20000,0,2000,21,29300,1,0,0,0,0,0,0,0,0,0,0,0,1,1,76,2
1,20312,6,13056,3,5256,2,0,1,1,0,0,0,37.6,159500,7,0,0,0,0,0,0,0,0,0,0,0,1,0,77,2
1,18256,0,8556,3,7200,2,1,1,1,0,0,0,55,93000,7,0,0,0,0,0,0,0,0,0,0,0,1,0,80,2
1,18660,0,18660,3,0,3,0,0,0,0,0,0,33.6,214800,7,30000,0,0,0,0,0,0,0,0,0,0,1,1,80,2
1,109800,15,16800,3,66000,5,0,1,2,0,0,0,13.3,684000,1,6000,0,0,0,0,0,0,0,0,0,0,1,1,79,1
1,14928,40,11400,3,3528,5,0,1,1,0,0,0,25.2,27000,7,750,0,0,0,0,0,0,0,0,0,0,1,0,84,2
0,1200,0,0,6,0,2,0,0,0,0,0,1,15,-30000,8,20000,0,0,0,0,0,0,0,0,0,0,1,1,61,2
1,60580,30,7560,5,0,7,0,0,0,0,0,8000,12,129000,1,15000,0,0,0,0,0,0,0,0,0,0,1,1,68,2
1,37050,45,21564,3,0,3,0,0,0,0,0,0,31.7,360101,1,5000,0,0,0,0,0,0,0,0,0,0,1,1,78,1
1,28716,8,15756,3,0,5,1,0,0,0,0,0,19.5,145000,1,6000,0,0,0,0,0,0,0,0,0,0,1,1,78,1
1,186092,45,33600,5,22800,6,0,1,2,0,0,0,22.4,3010500,1,90000,0,0,0,0,0,0,0,0,0,0,1,0,70,1
1,52714.86973,0,17134.86973,3,3180,4,0,1,1,0,0,0,16,691000,7,2000,0,0,0,0,0,0,0,0,0,0,1,1,80,2
1,32269,24,14264,3,0,5,1,0,0,0,0,10000,8.9,2000,5,19000,0,0,0,0,0,0,0,0,0,0,1,0,76,1
1,48600,15,8400,3,0,3,1,0,0,0,0,0,14.7,1248000,1,6000,0,0,0,0,0,0,0,0,0,0,1,1,79,2
1,93000,25,18000,4,0,6,0,0,0,0,0,3000,8.3,3671241.621,1,500,0,0,0,0,0,0,0,0,0,0,1,1,71,2
1,24414,0,19956,3,0,3,0,0,0,0,0,0,27.5,1054000,8,0,0,0,0,0,0,0,0,0,0,0,1,1,77,2
1,63300,40,15600,3,18000,3,0,1,1,0,0,0,45.7,381500,1,97000,0,0,0,0,0,0,0,0,0,0,1,1,76,1
1,71124,20,18324,3,46800,4,1,1,1,0,0,15000,15.7,224000,8,30000,0,0,0,0,0,0,0,0,0,0,1,1,80,2
1,147444,0,16644,3,0,2,0,0,0,0,0,0,23.3,2620742,1,5390,0,0,0,0,0,0,0,0,0,0,1,1,77,2
1,20508,25,6840,3,0,4,0,0,0,0,0,0,19,110000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,84,2
1,64000,45,0,7,0,4,0,0,0,0,0,0,10.2,766000,1,60000,0,0,0,0,0,0,0,0,0,0,1,1,58,2
1,134588,9,26076,3,36000,6,0,1,1,0,0,0,15,1434000,1,80000,0,0,0,0,0,0,0,0,0,0,1,1,76,1
1,47668.24481,14,6600,4,0,6,0,0,0,0,0,0,8.7,255000,1,2000,0,0,0,0,0,0,0,0,0,0,1,1,75,2
1,17720,30,6360,3,0,1,1,0,0,0,0,1000,65.8,525000,1,10000,0,0,0,0,0,0,0,0,0,0,1,1,87,1
1,15600,0,15600,3,0,1,1,0,0,0,0,0,-97,685000,7,0,0,0,0,0,0,0,0,0,0,0,1,1,85,2
1,39452,0,18228,4,13224,3,0,1,1,0,0,0,42,103500,7,0,0,0,0,0,0,0,0,0,0,0,1,0,76,1
1,17432,0,9450,5,0,3,0,0,0,0,0,0,23,13800,5,0,0,0,0,0,0,0,0,0,0,0,1,0,67,2
0,78000,0,0,6,0,2,0,0,0,0,0,0,10.7,235000,1,8000,0,0,0,0,0,0,0,0,0,0,1,0,60,2
1,125520.3384,0,27600,5,28200,2,0,1,2,0,0,0,25.4,1369000,1,170000,0,0,0,0,0,0,0,0,0,0,1,1,69,2
1,27964,40,16776,5,1188,6,1,1,1,0,20,0,13.2,2500,5,60000,0,0,0,0,0,0,0,0,0,0,1,1,65,2
1,43920.17626,22,12000,3,0,5,0,0,0,0,0,0,9,3700,1,22000,0,0,0,0,0,0,0,0,0,0,1,1,81,1
1,49376,60,12816,4,0,4,1,0,0,0,0,0,32.7,406000,1,0,0,0,0,0,0,0,0,0,0,0,1,0,71,2
1,25800,0,16800,4,3600,1,0,0,0,0,0,35000,5,140000,5,0,0,0,0,0,0,0,0,0,0,0,1,0,73,1
1,23196,30,13512,3,0,7,1,0,0,0,0,13000,11,-11000,1,18000,0,0,0,0,0,0,0,0,0,0,1,1,81,1
1,36972,35,25200,3,0,5,0,0,0,0,0,0,25,1116752.874,1,2500,0,0,0,0,0,0,0,0,0,0,1,1,78,1
1,18924,15,14508,3,0,3,1,1,1,0,0,0,44.5,88650,1,34000,0,0,0,0,0,0,0,0,0,0,1,1,86,1
1,52720,0,11460,3,0,8,1,0,0,0,0,40000,8.9,108000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,80,1
1,67280,40,19200,5,0,1,0,1,1,0,0,0,35.7,295000,5,56000,0,0,0,0,0,0,0,0,0,0,1,0,68,2
1,436000,0,228000,3,0,6,1,0,0,0,0,50000,27.4,113000,1,9000,0,0,0,0,0,0,0,0,0,0,1,1,77,1
1,12000,0,12000,3,0,2,1,0,0,0,0,0,4,147,5,0,0,0,0,0,0,0,0,0,0,0,1,0,83,2
1,23168,30,5280,3,15888,1,0,1,2,0,0,15000,29.3,131500,7,13000,0,0,0,0,0,0,0,0,0,0,1,1,80,2
1,53186.44547,0,15600,3,0,2,1,0,0,0,0,50,26.5,139950,1,0,0,0,0,0,0,0,0,0,0,0,1,1,79,2
1,15600,0,15600,3,0,4,0,0,0,0,0,0,18.7,4000,7,0,0,0,0,0,0,0,0,0,0,0,1,0,82,2
1,42814,30,11410,3,13404,3,0,1,1,0,0,0,30.2,87800,7,0,0,0,0,0,0,0,0,0,0,0,1,1,78,2
1,61472,0,6384,3,31824,4,0,1,2,0,0,5000,26.3,122700,8,17000,0,0,0,0,0,0,0,0,0,0,1,0,78,1
1,16630,17,4932,3,1578,2,1,1,2,0,0,34000,32.7,52000,5,9000,0,0,0,0,0,0,0,0,0,0,1,1,76,2
1,120820,20,17160,3,17800,2,1,1,2,0,0,0,30.3,560000,1,22000,0,0,0,0,0,0,0,0,0,0,1,1,76,2
1,50328,0,11136,4,0,4,0,0,0,0,0,15000,13.8,198000,1,3000,0,0,0,0,0,0,0,0,0,0,1,1,73,2
1,31128,0,12984,3,0,3,0,0,0,0,0,0,26.2,82000,1,13000,0,0,0,0,0,0,0,0,0,0,1,1,77,2
1,101784,50,12960,3,57600,4,0,1,2,3,0,0,34.1,3021660.238,1,4,0,0,0,0,0,0,0,0,0,0,1,0,78,1
1,28083,0,11184,3,6516,7,0,0,0,120000,0,0,13,322000,1,0,0,0,0,0,0,0,0,0,0,0,1,1,81,2
